Interval=,0.001 s,
ExcelDateTime=,4.54E+04,26:05.7
TimeFormat=,StartOfBlock,
DateFormat=,,
ChannelTitle=,Channel 3,Channel 4
Range=,10.000 mV,10.000 mV
0,0,0
0.001,0,0
0.002,0,0
0.003,0,-0.0003125
0.004,0,-0.0003125
0.005,0,-0.0003125
0.006,0,-0.0003125
0.007,0,-0.0003125
0.008,0,-0.0003125
0.009,0,-0.0003125
0.01,0,-0.000625
0.011,0,-0.000625
0.012,0,-0.000625
0.013,0,-0.0009375
0.014,0,-0.00125
0.015,0,-0.00125
0.016,0,-0.001875
0.017,0,-0.0021875
0.018,0,-0.0025
0.019,0,-0.003125
0.02,0,-0.0034375
0.021,0.0003125,-0.004375
0.022,0.0003125,-0.005
0.023,0.000625,-0.0059375
0.024,0.000625,-0.0065625
0.025,0.000625,-0.0078125
0.026,0.0009375,-0.00875
0.027,0.00125,-0.0096875
0.028,0.00125,-0.0109375
0.029,0.0015625,-0.0121875
0.03,0.001875,-0.0134375
0.031,0.001875,-0.015
0.032,0.0021875,-0.01625
0.033,0.0025,-0.0175
0.034,0.0025,-0.0190625
0.035,0.0028125,-0.020625
0.036,0.003125,-0.0221875
0.037,0.003125,-0.02375
0.038,0.0034375,-0.0253125
0.039,0.00375,-0.0265625
0.04,0.0040625,-0.0284375
0.041,0.0040625,-0.03
0.042,0.004375,-0.0315625
0.043,0.004375,-0.033125
0.044,0.0046875,-0.0346875
0.045,0.005,-0.03625
0.046,0.005,-0.0378125
0.047,0.0053125,-0.039375
0.048,0.005625,-0.040625
0.049,0.005625,-0.0421875
0.05,0.0059375,-0.04375
0.051,0.0059375,-0.045
0.052,0.00625,-0.0465625
0.053,0.0065625,-0.0478125
0.054,0.0065625,-0.0490625
0.055,0.006875,-0.05
0.056,0.006875,-0.0509375
0.057,0.006875,-0.051875
0.058,0.0071875,-0.0528125
0.059,0.0071875,-0.0534375
0.06,0.0071875,-0.054375
0.061,0.0075,-0.0553125
0.062,0.0075,-0.055625
0.063,0.0078125,-0.0565625
0.064,0.0078125,-0.056875
